question,context,answer_text
Who had a sexual relationship woth Leonard,"Lesley: So, you’re open to a sexual relationship? Leonard: The guy who seems like an emotionless robot is you, but your relationship with Amy is causing you to transform into a red-blooded man with sexual desires. Leonard: What’s your point? In order to keep having a sexual relationship with Penny, I have to give up everything I believe in, my intellectual integrity, the very nature of who I am? I can’t do that, Howard. Sheldon: Oh, good, I used that right. Anyway, you’re aware that Leonard has entered into a new romantic relationship which includes a sexual component? Leonard: No, no, no, no, let’s talk about it. I’m the one who’s made all the effort in this relationship since day one. Please tell me what more I could do? Leonard: Maybe you should consider women who aren’t in serious relationships with your closest friends? Sheldon: Boy, you’re wound awfully tight for a man who just had sexual intercourse. Sheldon: But wouldn’t you prefer to socialise with Tom, who is a sexually passive outdoorsman. Leslie: Rest assured that any aspects of our sexual relationship regarding your preferences, your idiosyncrasies, your performance, are still protected by the inherent confidentiality of the bedroom. Bernadette: Sexually. Howard: Sexually. Priya: Listen, Rajesh, Leonard and I have decided to see each other again, and you don’t get to tell me who I can and can’t have a relationship with. Raj: Look, I’m not the kind of guy who drops his friends just because he’s in a relationship. Leonard: So, where exactly are we in this relationship? Sheldon: Your relationship with Leonard? Leonard: Smart. Take relationship advice from a man who spent last night braiding Raj’s hair. Penny: Okay, maybe she was flirting with him, but who cares? Look, I don’t even know where my relationship is with Leonard is right now. Sheldon: Sexual insecurity. Howard: Sexual needs. Excuse me, are you currently involved in a sexual relationship?",Penny
Who is Penny's boyfriend,,Leonard
Who is Leonard's girlfriend,,Penny
Who is pathologically afraid of birds,": Oh, too bad! Sheldon’s pathologically afraid of birds! Hey, look, Sheldon! Birdie, birdie, birdie! Penny: Really? On top of everything else, you’re afraid of birds? Sheldon: No, no, no, no. She’d be going alone. Well, if you think I’m afraid of birds, you should see me around sheep. Howard: The bird? Go away, bird. Sheldon: Don’t take it personally, it’s his pathology, he can’t talk to women. Raj: Well, what if it’s one consenting adult and one adult who pretends to consent because he’s afraid of being alone? Leonard: Why? What are you afraid of? Penny: That’s what I’m afraid of. Maitre d’: I’m afraid so. Leonard: I’m not afraid of him. Page: I’m afraid not. Is there anything else? Leonard: Sure, that has birds in it. Penny: No, I was talking to the bird. Leonard: The bird’s still there? Amy: Okay. Well, what I think is going on here is you have a pathological need for closure. Raj: But he’s afraid of dogs. Leonard: Afraid so, Skippy. Sheldon: Oh, dear. I was afraid of this. Amy: There’s nothing to be afraid of, Sheldon.",Sheldon
Sheldon is pathologically afraid of what,": Oh, too bad! Sheldon’s pathologically afraid of birds! Hey, look, Sheldon! Birdie, birdie, birdie! Sheldon: Don’t take it personally, it’s his pathology, he can’t talk to women. Sheldon: Oh, dear. I was afraid of this. Amy: There’s nothing to be afraid of, Sheldon. Sheldon: Afraid not. Do you recognize this? Sheldon: We’re not afraid of physical activity. Leonard: Why? What are you afraid of? Penny: That’s what I’m afraid of. Maitre d’: I’m afraid so. Leonard: I’m not afraid of him. Page: I’m afraid not. Is there anything else? Amy: Okay. Well, what I think is going on here is you have a pathological need for closure. Sheldon: Okay, you got it. See, I was afraid it was a thinker. Sheldon: Aren’t you afraid I’ll embarrass you? Sheldon: Aren’t you afraid of being blinded? Raj: But he’s afraid of dogs. Leonard: Afraid so, Skippy. Amy: I was afraid you’d be too tired. Raj: He is so afraid of his feelings. Stuart: Ooh, Sheldon, I’m afraid you couldn’t be more wrong.",birds
Who grew up in India,"Howard: Raj grew up in India. Trust me, he’s seen worse. Howard: Yeah, you know, the boxer who grew a moustache and became a scientist. Raj: It’s not gonna work, dude, I grew up in India, an entire subcontinent where cows walk in the street, and nobody has ever had a solid bowel movement. Raj: No, I grew up with a house full of servants and now I have a cleaning lady who is a lovely woman who I have great respect for. Bernadette: How is that fair? You grew up with a table. Leonard: I thought you grew up on a farm. Raj: India. Leonard: India. Leonard: Not a problem. I grew up with a mother who emasculated my father financially and in every other aspect of his life, so really, it’s what I think love looks like. Raj: It’s bigger than the house my grandfather grew up in. Howard: Well, if you don’t, you’re gonna lose Priya to some fancy guy in a turban who grew up with Kama Sutra coloring books. Leonard: Well, we’re not in India. Abby: Ooh, India. Raj: You know India? Howard: Stop that, this isn’t India. Leonard: So. Hot in India? Penny: Run to India. Raj: The mysterious subcontinent of India. Leonard: You don’t have buffets in India? Lucy: It is? Does funky mean something different in India?",Raj
Who is Indian,"Lalita: Oh. Us Indian, or “come to our casino” Indian? Raj: The Indian sex book. In other words if you wonder wonder who wrote the book of love, it was us. Sheldon: You Indian. Sheldon: When I was a little boy and got sick, which was most of the time, my mother would read it to me. It’s about an Indian princess who befriends a monkey, who was mocked by all the other monkeys because he was different. For some reason I related to it quite strongly. Mrs Koothrappali: She’s not Indian. Raj: Excuse me, but I’m Indian. Penny: I’m not gonna say anything. I just want to check her out. Because she hurt my friend. My Indian friend. Who’s racist now? Raj: We Indians invented them. You’re welcome. Leonard: Is it racist that I took you to an Indian restaurant? Priya: It’s okay, I like Indian food. Raj: There it is, Priya. We’re Indian. We believe this stuff. Penny: I don’t know why but I always pictured her as Indian. Bernadette: You because you just called him your Indian friend. Bernadette: What is that, like, the Indian Sherlock Holmes? Priya: Yeah, just because you’re in bed with an Indian woman, you think that gives you permission to use crazy positions from an ancient Indian love manual? Leonard: Do you think a sexually ambivalent Indian astrophysicist with selective mutism and alcohol issues is better than a hundred-pound Jewish guy who lives with his mom? Penny: Oh, God. Did you pull some weird Indian crap on me? Sheldon: A beloved character from an Indian folk tale. Raj: It is. He stopped trying to find Indian girls for me to marry. Sheldon: We can’t have Thai food, we had Indian for lunch.",Raj
Bernadette dared who to tell a dirty story,"Amy: Bernadette dared me to tell a dirty story. The Miller’s Tale by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks. Penny: Oh, my inference is justified. Sheldon, you are so funny. Anyway, I need to do my laundry, too, because these clothes are so dirty. Almost as dirty as the dirty girl who’s wearing them. Bernadette: Sheldon, don’t you dare. Bernadette: She keeps on telling us stories about bridesmaid traditions in other cultures, and they’re all about getting naked and washing each other. Bernadette: Okay, call him and show him. I dare you. Amy: Yes, dirty. Dirty, dirty, dirty. Which brings me to our next order of business. (Kisses him) Dr Koothrappali: Let me tell you a story. Sheldon: Am I? Let me tell you a story. Raj: Are you going to let me tell the story or not? Bernadette: Okay, my turn. Penny, truth or dare? Sheldon: At the end of the haircut, Mr. D’Onofrio would tell me a dirty joke. Raj: When we tell this story, let’s end it differently. Leonard: When you tell this story later, the word we usually use is quirky. Sheldon: How dare you? Penny: Dare. Sheldon: How dare you. Penny: Really? You couldn’t just say that? You had to tell the scrotum story? Bernadette: Because once, when all the knives were dirty, you cut a bagel with your keys. Leonard: What? Who would tell you something like that? Why would you tell her something like that? Bernadette: Long story short, they have seven HBOs.",Amy
Who told a dirty story,"Penny: Oh, my inference is justified. Sheldon, you are so funny. Anyway, I need to do my laundry, too, because these clothes are so dirty. Almost as dirty as the dirty girl who’s wearing them. Amy: Yes, dirty. Dirty, dirty, dirty. Which brings me to our next order of business. (Kisses him) Leonard: What, who told you that? Amy: No, I had a cover story, I told everyone it was herpes. So, how’s everything going with you and Leonard? Emily: No, it’s okay. He told me that story a long time ago. Sheldon: Penny, I am going to tell you a story that I’ve never told anyone. Sheldon: You’re the one who told me to play with it. Amy: Bernadette dared me to tell a dirty story. The Miller’s Tale by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks. Bernadette: Well, you should’ve thought of that before you told me the stupid magic trick story. Sheldon: Who told you you could touch my board? Amy: Who told you to keep going around? Leonard: You’re the one who told Amy in the first place. Amy: Who told you to stop making all those Gandhi jokes about him? Leonard: Okay. Uh, uh, you’re not naughty. Uh, you’re, you’re, you’re dirty. You’re, you’re a, a dirty girl? Penny: Sure, sure. Uh, did you ever figure out who told? Leonard: Who do you think told Koothrappali to go to human resources? Sheldon: It’s dirty laundry. You’re up. Leonard: You are a dirty girl. Zack: She told me she dated a guy named Leonard. Who would have thought it was you? Sheldon: Are you suggesting I play dirty?",Amy
Who was dared by Bernadette to tell a dirty story,"Amy: Bernadette dared me to tell a dirty story. The Miller’s Tale by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks. Penny: Oh, my inference is justified. Sheldon, you are so funny. Anyway, I need to do my laundry, too, because these clothes are so dirty. Almost as dirty as the dirty girl who’s wearing them. Bernadette: Sheldon, don’t you dare. Bernadette: She keeps on telling us stories about bridesmaid traditions in other cultures, and they’re all about getting naked and washing each other. Bernadette: Okay, call him and show him. I dare you. Amy: Yes, dirty. Dirty, dirty, dirty. Which brings me to our next order of business. (Kisses him) Dr Koothrappali: Let me tell you a story. Sheldon: Am I? Let me tell you a story. Raj: Are you going to let me tell the story or not? Bernadette: Okay, my turn. Penny, truth or dare? Sheldon: At the end of the haircut, Mr. D’Onofrio would tell me a dirty joke. Raj: When we tell this story, let’s end it differently. Leonard: When you tell this story later, the word we usually use is quirky. Sheldon: How dare you? Penny: Dare. Sheldon: How dare you. Penny: Really? You couldn’t just say that? You had to tell the scrotum story? Bernadette: Because once, when all the knives were dirty, you cut a bagel with your keys. Leonard: What? Who would tell you something like that? Why would you tell her something like that? Bernadette: Long story short, they have seven HBOs.",Amy
Who knows how to speak Hindi,"Raj: If you really want to challenge yourself, you could learn to speak Hindi. Sheldon: Who do I speak to about permanently reserving this table? Raj: Excuse me, Ganesh is the remover of obstacles, and Shiva is the destroyer. When the smoke clears, Abraham Lincoln will be speaking Hindi and drinking mint juleps. Raj: Could you say that in English? I actually, I never learned Hindi. Penny: You know, it’s none of my business, but isn’t a guy who can’t speak in front of women going to hold you back a little? Leonard: Oh, yeah, speaking of work, do you know if you have Thursday night off? Waiter: Hi fellas. Oh, where’s your annoying little friend who thinks he speaks Mandarin? Howard: Oh, he speaks English, he just can’t speak to women. Sheldon: Oh, I don’t know. I mean, statistically speaking, I’m sure you have something to worry about. Sheldon: You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk. Penny: So, do you know who’s in there? Sheldon: Oh. Who knows? Howard: What? Us? Who else knows? Dave: You know, I once drove 500 miles to hear him speak at Stanford. Howard: He’s speaking about it. Sheldon: Then speak. Sheldon: Is it safe to assume you’re not speaking to me again? If you’re not answering because you’re not speaking to me, perhaps we could come up with a signal. That works. Leonard: I know someone who would disagree. Leonard: Who knows what he has down there. Leonard: Yeah, I know who it is, but why is it me?",Raj
Who speaks Hindi,"Raj: If you really want to challenge yourself, you could learn to speak Hindi. Sheldon: Who do I speak to about permanently reserving this table? Raj: Excuse me, Ganesh is the remover of obstacles, and Shiva is the destroyer. When the smoke clears, Abraham Lincoln will be speaking Hindi and drinking mint juleps. Raj: Could you say that in English? I actually, I never learned Hindi. Waiter: Hi fellas. Oh, where’s your annoying little friend who thinks he speaks Mandarin? Howard: Oh, he speaks English, he just can’t speak to women. Howard: He’s speaking about it. Sheldon: Then speak. Sheldon: Is it safe to assume you’re not speaking to me again? If you’re not answering because you’re not speaking to me, perhaps we could come up with a signal. That works. Sheldon: I am perfectly comfortable speaking to small groups. I cannot speak to large crowds. : Speak up! Howard: And we agreed to never speak of it again. Sheldon: Do you speak Klingon? Sheldon: I need to speak to you. Spock: I need to speak with you. Bill: He said I’d be speaking to a class. Amy: Why are you speaking Klingon? Sheldon: Why are you speaking English? Leonard: Don’t speak. Sheldon-bot : I must speak to him.",Raj
What is the peak age for making a Nobel Prize-winning discovery,"Ramona: Not if he wants a Nobel Prize. Leonard: I didn’t know they gave Nobel prizes for making boom-boom in the potty. Sheldon: Really? Did you just have the Nobel Prize in waitressing stolen from you? Sheldon: No, I’m just allergic to people who get Nobel Prizes for no good reason. Sheldon: Do you realise I may have to share a Nobel Prize with your booty call? Sheldon: Nobel Prize acceptance ceremony streaming live from Stockholm. Leonard: If there was a Nobel Prize for Millennium Falcons that fall apart when you pick them up, we’d be set. Hawking: Don’t worry, I know how you feel. I have never won a Nobel Prize. Sheldon: Are you saying that you think a celebration pie is even remotely comparable to a Nobel Prize? Leonard: Are there any other honours I’ve gotten that I don’t know about? Did UPS drop off a Nobel Prize with my name on it? Howard: A magician never reveals his secrets. But surely a future Nobel prize winner can figure it out. Ira: That’s interesting, but this could be taking you down the path toward a Nobel Prize. And in chemistry, no less. And wouldn’t that be unusual? Because you’re a physicist. Sheldon: Professor Norton, although, God knows why. He hasn’t published anything of note since he won that Nobel Prize. Amy: And if you only do solid research instead of making a groundbreaking discovery, what does it matter? Sheldon: I believe Alex may have unearthed the grade school science project that could be my ticket to the Nobel Prize. Behold. Leonard: I bet there are important discoveries being made every day because you inspired millions of kids to pursue science. In a way, their discoveries are your discoveries. Howard: Okay, calm down. There’s a theme to this weekend. We are going to Mexico in Feynman’s van to stay at the vacation house Feynman bought with the money from his Nobel Prize. Amy: Hey, I won the Nobel Prize in physiology, then I used the money to buy Stuart’s comic book store, and close it down so Sheldon would pay attention to me. Not the worst idea. Sheldon: Wear loafers. Look at Dr. Saul Perlmutter up there, clutching that Nobel Prize. What’s the matter, Saul? You afraid someone’s going to steal it? Like you stole Einstein’s cosmological constant? Sheldon: A hush falls over the crowd as Cooper studies the board. He makes his move. He’s dividing both sides by I. He’s adding back the coefficient. He has a value for P. He’s plugging that back in. He takes the derivative, and he solves the equation. The crowd goes wild. Nobel! Nobel!",40
Where was the summer conference on algebraic topology,"Sheldon: I have a plan to work on both projects simultaneously. And for your information, the summer conference on algebraic topology at Caltech is nerd prom. Penny: A proof that algebraic topology can never have a non self-contradictory set of abelion groups. I’m just a blonde monkey to you, aren’t I? Scene: The conference. : It’s hot in here. It must be Summer. It’s hot in here. Must be Summer. It’s hot in here. Must be Summer. Summer: Is that so? Summer: No. Scene: The conference room. Scene: The conference room. Scene: The conference room. Bernadette: Are you here for the conference? Scene: A conference room. Summer: That’s cute. Summer: You’re making that up. Summer: No. I didn’t. Summer: Uh-huh. Summer: Yeah? Summer: Thank you. Summer: Sure. Summer: I’m sorry. This is me. : It’s hot in here. Must be Summer.",Caltech
The summer conference on algebraic topology was held in,"Sheldon: I have a plan to work on both projects simultaneously. And for your information, the summer conference on algebraic topology at Caltech is nerd prom. Penny: A proof that algebraic topology can never have a non self-contradictory set of abelion groups. I’m just a blonde monkey to you, aren’t I? Penny: You were, but somehow I held myself back. Scene: The conference. : It’s hot in here. It must be Summer. It’s hot in here. Must be Summer. It’s hot in here. Must be Summer. Summer: Is that so? Summer: No. Scene: The conference room. Scene: The conference room. Scene: The conference room. Bernadette: Are you here for the conference? Scene: A conference room. Summer: That’s cute. Summer: You’re making that up. Summer: No. I didn’t. Summer: Uh-huh. Summer: Yeah? Summer: Thank you. Summer: Sure. Summer: I’m sorry. This is me.",Caltech
What university held the summer conference on algebraic topology,"Sheldon: I have a plan to work on both projects simultaneously. And for your information, the summer conference on algebraic topology at Caltech is nerd prom. Penny: A proof that algebraic topology can never have a non self-contradictory set of abelion groups. I’m just a blonde monkey to you, aren’t I? Penny: You were, but somehow I held myself back. Scene: The conference. Leonard: Guess who the university is sending to Switzerland to attend a conference and see the CERN supercollider on February 14? : It’s hot in here. It must be Summer. It’s hot in here. Must be Summer. It’s hot in here. Must be Summer. Summer: Is that so? Summer: No. Scene: The conference room. Scene: The conference room. Scene: The conference room. Bernadette: Are you here for the conference? Scene: A conference room. Summer: That’s cute. Summer: You’re making that up. Summer: No. I didn’t. Summer: Uh-huh. Summer: Yeah? Summer: Thank you. Summer: Sure.",Caltech
Who in the Big Bang Theory had a Dumbledore costume,"Caption: THE BIG BANG THEORY Scene: Following a “Previously on The Big Bang Theory” section Scene: Following a “Previously on The Big Bang Theory” section Sheldon: That’s probably my fault. She may have heard about my cool Dumbledore costume. Leonard: Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang. Sheldon: I’m gonna go as Dumbledore. James: Ay-yi-yi, bang-bang. Raj: I like your bangs. Sheldon: There was a scientist who had a theory and James Clerk Maxwell was his name-o. J-A-M-E-S, C-L-E-R-K space M-A-X-W-E-L-L, And James Clerk Maxwell was his name-o. There was a scientist who had a theory and James Clerk Maxwell was his name-o, A-M-E-S… Leonard: Uh, we’re going to the Comic-Con in Bakersfield. They have a big costume contest. It’s cooler than it sounds. Sheldon: Gary Con, do we fly or drive? Do we wear costumes? And if so, who gets to be Gary? Howard: The blogosphere is a-buzzing with news of you and Lesley Winkle making eine kleine bang-bang music. Sheldon: It’s not that big of an opportunity. And even if Hawking’s theories are correct, all they prove is where the universe came from, why everything exists and what its ultimate end will be. I mean, me? I’m interested in the big questions. Sheldon: That’s a good one. Dumbledore dies in that one. Yeah, I know, I didn’t see it coming, either. Scene: The apartment. Banging on door. Stuart: Sorry. Most of the guys who come in here like big boobs. Couple of them have big boobs. Bernadette: Oh, sure you did. Who’s Mama’s big space man? Lucy: Well, let’s see. I’d love to be able to tell the lady who cuts my hair that I don’t like bangs. Howard: As in, costumes? Leonard: Hey, look who’s out after dark, like a big boy.",Sheldon
Who had a Dumbledore costume,"Sheldon: That’s probably my fault. She may have heard about my cool Dumbledore costume. Sheldon: I’m gonna go as Dumbledore. Sheldon: Gary Con, do we fly or drive? Do we wear costumes? And if so, who gets to be Gary? Sheldon: That’s a good one. Dumbledore dies in that one. Yeah, I know, I didn’t see it coming, either. Howard: As in, costumes? Costume guy: How’s that feel? Sheldon: Oh no! (He is also wearing a Flash costume.) Leonard: We all have other costumes, we can change. Nurse Costume Girl: No thanks. Girl in Hippie Costume: Oh, Hi! Leonard: Because it’s not a costume, it’s a flight suit. Howard: That reminds me, I was thinking about wearing my NASA jumpsuit as a costume. But then I realized everyone would be, like, where’s your costume? Why are you wearing your work clothes, you nut? Sheldon: See, this is why I wanted to have a costume meeting. Sheldon: So what time does the costume parade start? Sheldon: I’m confused. If there’s no costume parade, what are we doing here? Stuart: Not really. She’s horrible. When she wants to have sex, she puts on her plus-size Wonder Woman costume and shouts who wants to take a ride in my invisible plane? Sheldon: Yes, but are the costumes random, or genre specific? Penny: Anything you want, okay? Any costume you want. Bye. : Oh, hey guys. Zack: Hold on. The costume came with a black wig. Where is it, babe?",Sheldon
Who wanted to go on the Small World ride at Disneyland,"Leonard: Oh, how about we compromise and go on the Small World ride at Disneyland? Bernadette: Are you referring to the time we got stuck on the Small World ride at Disneyland? Penny: We’re going to Disneyland and ride the Matterhorn? Leonard: Small world. Penny: We’re going to Disney World and ride the Matterhorn? Penny: And, uh, extra Dramamine? You remember what happened on It’s a Small World. Howard: A world I don’t want to live in. Seriously, I no longer want to live in this world. Amy: In a world where rhinoceroses are domesticated pets, who wins the Second World War? Stuart: Not really. She’s horrible. When she wants to have sex, she puts on her plus-size Wonder Woman costume and shouts who wants to take a ride in my invisible plane? Howard: There she is. Who’s ready for a hot, three-hour car ride to the desert? Penny: Okay, fine, it’s soup and a small sandwich. Is that what you want? Leonard: You’re taking him to Disneyland? Penny: Oh, no, no, no, a bunch of us from work are going to Disneyland next Saturday and Sheldon wants to come. Howard: Everyone in the world of science knows who Richard Feynman was. Sheldon: Who leaves their bike in the hallway? You know, if I knew how to ride one, I’d steal it. Howard: There’s two kinds of people in this world, those who call tech support, and those who make fun of the people who call tech support. : Disneyland. Go on, I’m listening. Penny: Okay, moving on. Now, who are these guys at Disney World? Penny: Sorry. Okay, who wants syrup and who wants cinnamon sugar? Penny: I mean, the whole experience reminded me about how much I hated about that world. You, you know, the anxiety, the depression, the negativity. I don’t want to feel those things. I want to sell drugs to people who feel those things.",Leonard
Profits due to Sheldon Cooper will be allocated to a what,"Bernadette: 25% of profits due to Sheldon Cooper will be allocated to a scholarship fund for the firstborn child of Howard and Bernadette Wolowitz. Sheldon, that’s so nice. George Smoot: With all due respect, Dr. Cooper, are you on crack? Sheldon: And how much profit do you make per Penny Blossom? Sheldon: No, I will be Uncle Dr. Cooper. Howard: That’s your entire profit margin. Mrs Cooper: And I will pray for you. Mrs Cooper: Or I will send you to your room. Leonard: Of course, we can split any profits three ways. Beverley: Well, I would assume it’s because Sheldon and I stay in touch due to mutual interest and respect, while you avoid me, due to unresolved childhood issues. Sheldon: In my defence, I prefaced that by saying “with all due respect.” Sheldon: No. The X-Men were named for the X in Charles Xavier. Since I am Sheldon Cooper, you will be my C-Men. Sheldon: It was a compliment. I believe in giving credit where credit is due. Sheldon: So from now on, this program will be officially known as Dr. Sheldon Cooper and Dr. Amy Farrah Fowler present Dr. Sheldon’ Cooper’s Fun With Flags. Mrs Cooper: I will give you one opportunity, young man, to apologize. Maitre d’: With all due respect, ma’am, there’s nothing I can do. Sheldon: Look, I didn’t turn a profit last quarter by taking product off the shelves willy-nilly. Mrs Cooper: Sheldon, you pester me one more time about chicken, I will put you over my knee right here in this restaurant. Raj: Sorry, Mommy, Papa, but with all due respect I really can’t go through… Past Leonard: According to the roommate agreement, I’m entitled to allocate 50% of the cubic footage of the common areas. Mrs Cooper: Mary Cooper, Sheldon’s mom.",scholarship fund
Profits due to Sheldon Cooper will be allocated to what,"Bernadette: 25% of profits due to Sheldon Cooper will be allocated to a scholarship fund for the firstborn child of Howard and Bernadette Wolowitz. Sheldon, that’s so nice. George Smoot: With all due respect, Dr. Cooper, are you on crack? Sheldon: And how much profit do you make per Penny Blossom? Sheldon: No, I will be Uncle Dr. Cooper. Howard: That’s your entire profit margin. Mrs Cooper: And I will pray for you. Mrs Cooper: Or I will send you to your room. Leonard: Of course, we can split any profits three ways. Beverley: Well, I would assume it’s because Sheldon and I stay in touch due to mutual interest and respect, while you avoid me, due to unresolved childhood issues. Sheldon: In my defence, I prefaced that by saying “with all due respect.” Sheldon: No. The X-Men were named for the X in Charles Xavier. Since I am Sheldon Cooper, you will be my C-Men. Sheldon: It was a compliment. I believe in giving credit where credit is due. Sheldon: So from now on, this program will be officially known as Dr. Sheldon Cooper and Dr. Amy Farrah Fowler present Dr. Sheldon’ Cooper’s Fun With Flags. Mrs Cooper: I will give you one opportunity, young man, to apologize. Maitre d’: With all due respect, ma’am, there’s nothing I can do. Sheldon: Look, I didn’t turn a profit last quarter by taking product off the shelves willy-nilly. Mrs Cooper: Sheldon, you pester me one more time about chicken, I will put you over my knee right here in this restaurant. Raj: Sorry, Mommy, Papa, but with all due respect I really can’t go through… Past Leonard: According to the roommate agreement, I’m entitled to allocate 50% of the cubic footage of the common areas. Mrs Cooper: Mary Cooper, Sheldon’s mom.",scholarship
Who did a social experiment,"Howard: Well, this is actually an interesting social experiment. Raj: What the? Are you crazy? You can’t talk about social anxiety to someone who has social anxiety. It makes them socially anxious! Leonard: It’s the social protocol, it’s what you do when you have a friend who’s proud of something they really suck at. Leonard: Hey, you know who’d really dig seeing this experiment? Penny. Sheldon: Neither do I, but it’s the social convention. Howard: Social anxiety. Raj: I am a man who can’t talk to women, trying to figure out how to go on a romantic date with a girl who suffers from such crippling social anxiety she can’t be around other people. Sheldon: It’s an experiment. Raj: We need a social catalyst. Howard: Since when do you read social science? Sheldon: So, have you and I returned to a social equilibrium? Sheldon: Amy, this isn’t easy to say. All relationships are difficult, but even more so when you’re in one with a person who struggles with everyday social interactions. And frankly, who can strike some people as being kind of a weirdo. Sheldon: I’m on vacation. Social convention dictates that I let my hair down at a local watering hole. Social convention is stupid. Sheldon: Perform the experiment immediately. Sheldon: You tampered with my experiment? Leonard: It does. But in my experience, you don’t. Bernadette: So, how’s your experiment going? Penny: Really? We’re going to do an experiment? Sheldon: Yeah, I have to say, it is nice to share this experience with someone who’s on the same journey. Although right now ours is testing off the charts while yours is floating around in its own waste. Sheldon: And be a social pariah? Oh, you know that’s not my style.",Howard
Who thought the scavenger hunt is a interesting social experiment,"Raj: Okay, everybody. Who’s ready for a scavenger hunt? Howard: Well, this is actually an interesting social experiment. Penny: I love scavenger hunts. My friends and I had them all the time. Sheldon: Oh, everything I could possibly need to win the scavenger hunt. Raj: Just hear me out. I’m going to make you guys a scavenger hunt like they have at M.I.T. Raj: Oh, hey, thanks for letting me use the comic book store as part of the scavenger hunt. Raj: Oh, we could set it up like a scavenger hunt where the last puzzle gives the winner Sheldon’s contact information. Raj: What the? Are you crazy? You can’t talk about social anxiety to someone who has social anxiety. It makes them socially anxious! Amy: Scavenger hunts at Harvard were really tough. I always got stuck on the first challenge, trying to find someone to be on a team with me. I guess that story’s more sad than funny. Howard: You’re weighing me down. I’m a falcon who hunts better solo. Leonard: I thought you weren’t interested in me. Leonard: Interesting question. On the one hand, I always thought… Sheldon: No, no. We designed an experiment involving you. See? Now, isn’t that interesting? Sheldon: In case you have forgotten, Schrodinger’s cat is a thought experiment… Leonard: I’m the one who thought of it. Leonard: It’s the social protocol, it’s what you do when you have a friend who’s proud of something they really suck at. Sheldon: She’s been conducting an experiment on apes where they’re given various puzzles to solve. I was surprised at the complexity of the puzzles and thought some humans wouldn’t be able to solve them. That’s when Amy said, want to make this interesting? Sheldon: Interesting hypothesis. Let’s apply the scientific method, perform an experiment. Penny: Okay, I know you don’t have a lot of experience with women, but Ramona seems to have a romantic interest in you. Leonard: We finished the experiment early, so I thought I’d come home and surprise you.",Howard
Who did the taxes when Howard played video games,"Howard: Just playing video games while Bernie does the taxes. Penny: You’re sitting here playing video games all day. Scene: Sheldon and Leonard’s living room. Howard is there, playing on a dance video game. Howard: Kids are always better at video games. Leonard: Do you mind if I spend the weekend playing video games with the guys? Howard: Role-playing games? Howard: Have you ever played a game with Bernadette? Bernadette: Howard, you’re going to jail for tax fraud. Who cares? Policeman: Assorted video games. Howard: I invented a game. You want to play? Ramona: Halo night? A man with your intellectual gifts doesn’t waste an evening playing video games. Howard: How are the taxes going? Leonard: Oh, the video game. Yeah, that was bad. Leonard: It was, but one night, Sheldon came home from work… (Flashback, the apartment. The settee has now appeared. Leonard, Howard and Raj are playing a video game.) Howard: Yeah, I know, it really took a bite out of my video game time. What are you and Penny doing? Leonard: Come on, it’s just a video game. And we suck at it. Leonard: Well, I was just saying that there was this video game… Penny: Yeah, we do game nights and video game nights and we watch movies with director’s commentary. Bernadette: Want to pause the video game and help me clean up? Raj: Can we not play this game?",Bernie
Who is going to jail for tax fraud,"Bernadette: Howard, you’re going to jail for tax fraud. Who cares? Howard: How are the taxes going? Howard: Okay, he’s going to jail. Leonard: If I’m going to jail, I’m killing him, not breaking his thumb. Sheldon: All right, you have to get out of the car right now. I’m not going to jail for you. Sheldon: Before taxes. Raj: We’re both frauds. I’m sorry, I’m a fraud, he’s a fraud. Stuart: Was just doing my taxes. Sheldon: That’s true. There’s the U.S. Air Force, U.S. Department of Defence, U.S. Navy, you and I are going to jail. Sheldon: No. We are committing genetic fraud. There’s no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers. Penny: Sheldon’s in jail. Leonard: Sheldon’s in jail? Susan: All right, that’s enough jail talk. Susan: What you’ve gotta put up with? Why did you have to go to jail? Penny: Well, I don’t have to pay taxes on this stuff. Judge: Dr. Cooper, before I find you in contempt and throw you in jail, I’m going to give you a chance to apologize for that last remark. Leonard: Really? This is going to decide who’s the hero and who’s the sidekick? Amy: Is there any evidence of fraud, bigamy, want of understanding? Penny: Oh, gee, thanks, Leonard. That didn’t occur to me. If he doesn’t apologize by 5 o’clock he is going to spend the night in jail.",Howard
