Query,relevant_transcript,relevance_score,old query
Who's job involves audition?,(5 18) Scene: Penny’s apartment. Penny is cutting Sheldon’s hair.,0,
Who's job involves audition?,(6 1) Scene: Penny’s apartment. Penny is bleaching Amy’s upper lip.,0,
Who's job involves audition?,(1 17) Scene: Penny’s flat. Penny is eating ice cream from the tub.,0,
Who's job involves audition?,"(6 3) Penny: Oh, it’s about time. I hated the old way. Hi. I’m Penny.",0,
Who's job involves audition?,"(3 20) Sheldon: (Knock, knock, knock) Penny, (knock, knock, knock) Penny. (Long pause, knock, knock, knock) Penny. (Penny opens door. A dishevelled Sheldon is holding up one hot dog.) Here. I had to trade the others for my life.",0,
Who's job involves audition?,(1 15) Leonard: How do I have Penny? In what universe do I have Penny?,0,
Who's job involves audition?,"(1 10) Sheldon: (Knock, knock, knock, knock) Penny, (Knock, knock, knock, knock) Penny, (Knock, knock, knock, knock) Penny, (door opens) Good morning.",0,
Who's job involves audition?,"(3 16) Sheldon: (Knock, knock, knock) Penny. (Knock, knock, knock) Penny.",0,
Who's job involves audition?,"(2 9) Sheldon (Knock, knock, knock) : Penny (knock, knock, knock) Penny.",0,
Who's job involves audition?,(3 7) Leonard: Because of the reasons that Penny will now tell you. Penny?,0,
Who gets the MacArthur Fellowship,"(2 11) Howard: Hey, isn’t that the guy who won the MacArthur genius grant last year? No, not all at once.",2,
Who gets the MacArthur Fellowship,"(10 9) Sheldon: Hey, it’s not even called the Genius Grant, it’s the MacArthur Fellowship. Just like it’s not Frankenstein, it’s Frankenstein’s Monster. Which brings us back to that hulking simpleton over there. And if anyone’s a genius, it’s me for the way I brought that full circle.",1,
Who gets the MacArthur Fellowship,"(10 9) Bert: Wow, I won the MacArthur Grant, everyone’s jealous of me. Once I get Lasik, I’ll be out of things to wish for.",2,
Who gets the MacArthur Fellowship,"(10 9) Howard: Damn, the MacArthur Genius Grant.",1,
Who gets the MacArthur Fellowship,(10 23) Amy: I was offered a summer research fellowship at Princeton.,1,
Who gets the MacArthur Fellowship,"(10 21) Bert: Right. I wasn’t getting any responses, and then I added recent $625,000 MacArthur grant winner, and five minutes later I met my soul mate.",2,
Who gets the MacArthur Fellowship,"(3 15) Leonard: Yeah. We also put in what happens if one of us wins a MacArthur Grant, or if one of us gets superpowers, or if one of us is bitten by a zombie.",2,
Who gets the MacArthur Fellowship,"(7 20) Leonard: Oh, yeah. Wasn’t that the basis of your postdoc fellowship?",0,
Who gets the MacArthur Fellowship,(4 14) Howard: I just got offered a fellowship at the Weitzmann Institute in Israel.,0,
Who gets the MacArthur Fellowship,"(2 11) Leonard: Congratulations on the MacArthur Grant, by the way. Big fan.",1,
Who gets the MacArthur Fellowship,"(10 9) Bert: You know, as a MacArthur Grant winner, I’m allowed to nominate someone for next year.",2,
Who gets the MacArthur Fellowship,"(7 14) Leonard: Yeah. What if we do get caught, who cares? So we get banned from Comic-Con.",0,
Who gets the MacArthur Fellowship,"(2 8) Raj: Okay, who gets the extra dumpling?",0,
Who gets the MacArthur Fellowship,"(3 2) Raj: Okay, who had Leonard gets a floppy disk?",0,
Who gets the MacArthur Fellowship,"(3 15) Leonard: Well, forget it. I was the one who was invited, I get to decide who goes with me, and it’s Penny, not you!",0,
Who gets the MacArthur Fellowship,(4 2) Sheldon-bot : Isn’t this nice? The pleasures of fellowship and camaraderie without having to tolerate your germy breath on my skin.,0,
Who gets the MacArthur Fellowship,(9 8) Raj: I’m a little jealous of the people who get to do it.,0,
Who gets the MacArthur Fellowship,"(6 20) Penny: So, who do you have to schmooze to get this deal?",0,
Who gets the MacArthur Fellowship,"(3 11) Beverley: Excuse me, Leonard, I am the one who’s getting a divorce, Mitzy is the one who is dead. Why are you the one making a fuss?",0,
Who gets the MacArthur Fellowship,(4 23) Raj: Hell Hounds. Who let the Satanic dogs out? Who? Who-who?,0,
Who gets the MacArthur Fellowship,(4 9) Howard: How about the guy who gets a prostate exam from Wolverine?,0,
Who gets the MacArthur Fellowship,(7 5) Raj: Not getting to see who wins at pigeon ping-pong comes to mind.,0,
Who gets the MacArthur Fellowship,"(7 3) Howard: Yes, to be fair, do people who went to Princeton get a head start?",0,
Who gets the MacArthur Fellowship,"(1 7) Sheldon: Fine, what do you want to eliminate, and who gets the extra dumpling.",0,
Who gets the MacArthur Fellowship,(2 18) Penny: Get out! Who needs a thousand sparkly flower barrettes with rhinestones?,0,
Who gets the MacArthur Fellowship,"(5 6) Sheldon: No, I’m just allergic to people who get Nobel Prizes for no good reason.",0,
Who gets the MacArthur Fellowship,"(10 14) Penny: I, I’m not sure. Maybe a few days. Unless he gets the job, then who knows?",0,
Who gets the MacArthur Fellowship,(2 19) Alicia: I just got a callback to audition for CSI to play a hooker who gets killed.,0,
Who gets the MacArthur Fellowship,(10 5) Howard: Maybe this is why people get fish tanks. Who just turned the porch lights on?,0,
Who gets the MacArthur Fellowship,"(7 15) Leonard: It gets better. Instead of me, you can take someone who will actually enjoy it.",0,
Who gets the MacArthur Fellowship,"(8 16) Sheldon: Gary Con, do we fly or drive? Do we wear costumes? And if so, who gets to be Gary?",0,
Who gets the MacArthur Fellowship,"(2 4) Leonard: If we do get a new friend, he should be a guy you can trust. A guy who has your back.",0,
Who gets the MacArthur Fellowship,"(4 7) Howard: Hey, buddies. Guess who didn’t get security clearance to work on the giant space laser?",0,
Who gets the MacArthur Fellowship,"(4 11) Leonard: I got a better idea. We’re all responsible. I say we all go. Come on, who’s with me? Free comic books to anyone who comes with me. I might get punched. You really want to miss that?",0,
Who gets the MacArthur Fellowship,"(5 14) Sheldon: Careful, it’s that kind of sass that can get a person uninvited to this year’s Who Con.",0,
Who gets the MacArthur Fellowship,(10 14) Leonard: Hmm. Who knows? That’s exciting. I’ll get to wake up every morning and see if he’s still here.,0,
Who gets the MacArthur Fellowship,(3 16) Stuart: I kind of have to. The cousin who’s getting married is the cousin I usually go to weddings with.,0,
Who gets the MacArthur Fellowship,"(8 6) Penny: Ugh, You’re right, who cares? Mm. Get that money out of my back pocket or I will break your fingers.",0,
Who gets the MacArthur Fellowship,"(6 15) Penny: Oh, don’t get all huffy. You’re the one who decided to move in without even asking me if I was ready.",0,
Who gets the MacArthur Fellowship,"(9 6) Howard: If you need liquid helium so bad, I know a guy who can get you some, if you don’t ask too many questions.",0,
Who gets the MacArthur Fellowship,"(3 14) Raj (arriving): Hey, it’s Disco Night at the Moonlight Roller Rink in Glendale tonight. Who’s up for getting down?",0,
Who gets the MacArthur Fellowship,(2 14) Leonard: And that’s based on the inherent credit-worthiness of people who get drunk and urinate on police vehicles?,0,
Who gets the MacArthur Fellowship,(7 23) Howard: We get a nurse. Preferably someone from a third world country who’s used to suffering and unpleasant smells.,0,
Who gets the MacArthur Fellowship,"(3 12) Penny: Okay. Well, I went to this psychic who told me that if I cut my hair, I’m going to get a national commercial.",0,
Who gets the MacArthur Fellowship,"(10 9) Raj: This is tough, but I’m going to say it’s the guy who shows me YouTube videos of people getting hit in the nuts.",1,
Who gets the MacArthur Fellowship,(3 16) Stuart: I don’t know. Just chatting. You’re looking at a guy who could very well get stood up by a stray cat tonight.,0,
Who gets the MacArthur Fellowship,"(5 5) Howard: It gets better. Someone has to go up with the telescope as a payload specialist, and guess who that someone is.",0,
Who gets the MacArthur Fellowship,"(6 11) Penny: Oh, you poor thing. Is having a real-life girlfriend who has sex with you getting in the way of your board games?",0,
Who gets the MacArthur Fellowship,(3 12) Leonard: Look at us. Getting ready for a double date with actual women who publicly acknowledge they’re our girlfriends.,0,
Who gets the MacArthur Fellowship,"(9 10) Dave: Yeah. Well, let’s change the subject. No more mentions of you-know-who. That’s a cool train. Where did you get that?",0,
Who gets the MacArthur Fellowship,(2 19) Alicia: So I let them do stuff for me. They’re happy. I get stuff. Who cares? And how’s it any different from what you do?,0,
Who gets the MacArthur Fellowship,(2 4) Mrs Koothrappali: What if he gets her pregnant. Is this little hotsy-totsy who you want as the mother of your grandchildren.,0,
Who gets the MacArthur Fellowship,"(10 15) Sheldon: Oh, no. It’s not just me. No. The railway is four hours from the nearest airport, and guess who gets to drive me.",0,
Who gets the MacArthur Fellowship,(4 22) Raj: The lonely guy and the two happy couples? I’d rather get a prostate exam from a leper who walks away with nine fingers.,0,
Who gets the MacArthur Fellowship,"(2 9) Sheldon: You’re Kirk, I’m Spock, Wolowitz is Scotty, Koothrappali is the guy who always gets killed, and now we’ve got McCoy.",0,
Who gets the MacArthur Fellowship,"(4 13) Penny (voice): Yeah, I have a question. Is there anybody who can get me the hell out of here and back to Los Angeles tonight?",0,
Who gets the MacArthur Fellowship,"(7 10) Howard: No, you’re being a better husband than I am. Doing the dishes, getting coffee, knowing about her life, who does that?",0,
Who gets the MacArthur Fellowship,(1 12) Leonard: You can’t let this kid get to you. You always knew that someday someone would come along who was younger and smarter.,0,
Who gets the MacArthur Fellowship,(4 3) Sheldon: A breakup would imply she was my girlfriend. She was a girl who was my friend who is now a girl who is not my friend.,0,
Who gets the MacArthur Fellowship,(9 12) Penny: I’m not sick. It’s for work. There’s this doctor who refuses to see any sales reps. I’ve been trying to get in for months.,0,
Who gets the MacArthur Fellowship,"(9 14) Sheldon: Yeah, I know. It was quite tense. So here’s the million dollar question, uh, who wants to pop over there and get my trains?",0,
Who gets the MacArthur Fellowship,(10 16) Dr Koothrapalli: It’s too much work. You’re an adult who can’t get by without an allowance from his parents. Women don’t want that.,0,
Who gets the MacArthur Fellowship,"(8 22) Howard: There’s two kinds of people in this world, those who call tech support, and those who make fun of the people who call tech support.",0,
Who gets the MacArthur Fellowship,"(5 7) Penny: Okay, good, because there’s this one guy I used to date who’s about to be force-fed wine and cheese if he doesn’t get to the point.",0,
Who gets the MacArthur Fellowship,"(3 3) Penny: Sorry. Okay, who wants syrup and who wants cinnamon sugar?",0,
Who gets the MacArthur Fellowship,"(4 9) Wyatt: And Donnie was a rocket scientist compared to that boy who wanted to get beer pong into the Olympics. What was his name, sweetheart?",0,
Who gets the MacArthur Fellowship,"(6 8) Leonard: If you’re wondering why I’ve been staring through the peephole, I’m trying to get a look at this guy who’s coming over to Penny’s.",0,
Who gets the MacArthur Fellowship,"(6 13) Bernadette: Hold on, who decides who’s worthy? Does the hammer decide?",0,
Who gets the MacArthur Fellowship,"(9 14) Raj: Yeah, I get that. I’m a scientist, slash party planner, slash small-dog enthusiast, slash guy who probably should have stopped at scientist.",0,
Who gets the MacArthur Fellowship,(9 21) Amy: Who’s the only one who can make him take his medicine when he’s sick?,0,
Who gets the MacArthur Fellowship,(3 22) Past Leonard: A bad thing. A very bad thing. Get the door. Get the door! Get the door! Get the door! Get the door!,0,
Who gets the MacArthur Fellowship,"(6 3) Penny: Who I hope for her sake is not Captain Hook, so… who are you calling?",0,
Who gets the MacArthur Fellowship,"(8 4) Raj: It’s true, you’re both gorgeous. Kind of says something about the man who could bed you both. You get why I’ve been alone most of my adult life.",0,
Who gets the MacArthur Fellowship,"(6 24) Penny: Honey, this is a big deal for Leonard, okay? He gets to work with Stephen Hawking. Who, by the way, will not be on the boat. I checked it out.",0,
Who gets the MacArthur Fellowship,"(4 16) Priya: Listen, Rajesh, Leonard and I have decided to see each other again, and you don’t get to tell me who I can and can’t have a relationship with.",0,
Who gets the MacArthur Fellowship,(4 10) Leonard: Really? This is going to decide who’s the hero and who’s the sidekick?,0,
Who gets the MacArthur Fellowship,"(5 5) Howard: I don’t know. If we’re going to get back together, she’s going to have to apologize and accept that I’m a grown man who can make his own decisions.",0,
Who gets the MacArthur Fellowship,"(1 16) Howard: Okay, I get it, I know how the world works, how about if I were to introduce you (holding up a five dollar bill) to the man who freed your people.",0,
Who gets the MacArthur Fellowship,"(2 9) Sheldon: Yeah, furthermore, earlier this evening, she threw a digital sheep at some guy named Mike. Who’s Mike? Why does he get a digital sheep and not you?",0,
Who gets the MacArthur Fellowship,"(2 2) Penny: Okay, I get it, I get it, I get it.",0,
Who gets the MacArthur Fellowship,"(4 15) Mrs Latham: Oh, I don’t know, it’s one of the fun things you get to do when you have lots of money. Watch. Hey! Who said you could eat that shrimp? See? Fun.",0,
Who gets the MacArthur Fellowship,"(10 5) Sheldon: Oh, look who’s in favour of compromise, the woman who married Leonard Hofstadter.",0,
Who gets the MacArthur Fellowship,"(3 10) Howard: I was just repeating what Sheldon said. Let’s not get off topic, Bernadette, I need to apologize. I was wrong to tell you who you should be friends with.",0,
Who gets the MacArthur Fellowship,"(5 8) Amy: The real fun starts when you get to pick the rat you’re going to feed it to, and maybe you choose the beady-eyed little mother who’s been biting you all week.",0,
Who gets the MacArthur Fellowship,"(8 21) Sheldon: Well, Penny, who’s smarter, the wise man or the person who comes to him for advice?",0,
Who gets the MacArthur Fellowship,"(9 23) Bernadette: Amy’s with Sheldon who she loves like a son. You’re with her son, who she doesn’t.",0,
Who gets the MacArthur Fellowship,"(8 21) Sheldon: Leonard, who’s really in charge? The person in charge, or those who put him in charge?",0,
Who gets the MacArthur Fellowship,"(8 16) Raj: Oh, okay. Uh, brothers and sisters I have none, but this man’s father is my father’s son. Who am I looking at? Yeah, yeah, we get it, you want brains. Calm down.",0,
Who gets the MacArthur Fellowship,"(10 9) Sheldon: You’re happy with who you are. You don’t get jealous of other people. Instead of being weighed down by ambition, you just float along like a dead body in a river.",0,
Who gets the MacArthur Fellowship,"(2 1) Sheldon: I’m constitutionally incapable. That’s why I was refused clearance for a very prestigious government research fellowship at a secret military supercollider, located beneath a fake agricultural station 12.5 miles south east of Travers City, Michigan. Which you did not hear about from me.",0,
Who gets the MacArthur Fellowship,"(6 8) Penny: Then why did you embarrass me in front of my friend, who, by the way, knew exactly who you were?",0,
Who gets the MacArthur Fellowship,"(7 3) Raj: Well, I thought… Come on, I didn’t want anyone to feel bad at the end of the game. And some of those puzzles were really hard and I didn’t know who was gonna get Penny.",0,
Who gets the MacArthur Fellowship,(3 13) Howard (after Raj whispers to him): How the hell do I know who’s the friend and who’s the acquaintance?,0,
Who gets the MacArthur Fellowship,(4 13) Bernadette: I think Mr. Wolowitz needs to keep in mind that the past is the past. But he should know that I am the kind of girl who could get all the giant missiles she wants.,0,
Who gets the MacArthur Fellowship,"(6 11) Amy: It’s fine. I’m used to being the girl who never gets looked at twice. I didn’t have my first kiss till I was 22, and the guy only did it so I’d give him back his insulin.",0,
Who gets the MacArthur Fellowship,(7 10) Sheldon: How could you not like getting attention for playing Wesley Crusher? You were wonderful. A know-it-all boy genius with an eidetic memory. Who couldn’t relate to that?,0,
Who gets the MacArthur Fellowship,(5 22) Penny: I don’t care. Ask her things like are you going to take Howard’s name? Not who’s going to sit on who?,0,
Who gets the MacArthur Fellowship,(9 3) Amy: Who?,0,
Who gets the MacArthur Fellowship,(4 7) Page: Who?,0,
Who gets the MacArthur Fellowship,"(3 21) Leonard: Okay, well, I guess I should get dressed so I can take everyone to work. You and Sheldon and Sheldon’s friend, Dr. Plimpton, who you just met. It’ll be fun. Like a clown car.",0,
Bernadette and had a baby with who?,"(1 1) Howard (sings): Baby, baby don’t get hooked on me. Uh, baby, baby don’t get hooked on me.",0,Bernadette and Howard's baby
Bernadette and had a baby with who?,"(9 16) Raj (singing): Ooh, baby, baby, baby, baby. Ooh, baby, baby, baby, baby.",1,
Bernadette and had a baby with who?,"(10 12) Amy: Well, uh, Howard and Bernadette had their baby.",2,
Bernadette and had a baby with who?,"(9 16) Together: And I was like, baby, baby, baby, ooh, like, baby, baby, baby, no, like, baby, baby, baby, ooh, I thought you’d always be mine.",0,
Bernadette and had a baby with who?,(5 18) Bernadette: Poor baby.,0,
Bernadette and had a baby with who?,"(6 17) Bernadette: Oh, you poor baby.",0,
Bernadette and had a baby with who?,(8 10) Bernadette: Where? To Babies R Us?,0,
Bernadette and had a baby with who?,"(10 12) Penny (checking phone): Oh. It’s Bernadette. She says they’re running late. The baby threw up on Howard, and then Howard threw up on Howard.",2,
Bernadette and had a baby with who?,(10 23) Bernadette: I made us have a baby.,2,
Bernadette and had a baby with who?,(10 15) Bernadette: You’re upset I had a baby?,2,
Bernadette and had a baby with who?,(8 6) Bernadette (off): Why are you being a baby?,0,
Bernadette and had a baby with who?,"(7 3) Howard: Cherry, baby",0,
Bernadette and had a baby with who?,"(2 21) Howard: Sea World, baby!",0,
Bernadette and had a baby with who?,"(8 4) Bernadette: Oh, baby. That story’s made up, isn’t it?",0,
Bernadette and had a baby with who?,(2 21) Howard: I say Vegas baby!,0,
Bernadette and had a baby with who?,"(10 3) Bernadette: Something’s wrong. I don’t care about any of the baby stuff every other mom is so into. Honestly, I’m not even sure I like babies.",1,
Bernadette and had a baby with who?,(8 23) Howard: She doesn’t baby me.,0,
Bernadette and had a baby with who?,"(10 11) Penny (off): Guys, wake up. Bernadette’s having her baby.",2,
Bernadette and had a baby with who?,"(10 10) Bernadette: Stuart, you didn’t have to get us a baby gift.",1,
Bernadette and had a baby with who?,(10 20) Bernadette: I’m not crazy about you calling our baby dumb.,2,
Bernadette and had a baby with who?,"(7 23) Howard: I’m coming, you big baby.",0,
Bernadette and had a baby with who?,(9 24) Bernadette: Do not pull over. I’m not raising this baby alone.,2,
Bernadette and had a baby with who?,"(6 3) Howard: Oh, baby, you’re killing me.",0,
Bernadette and had a baby with who?,"(10 21) Bernadette: I see a wall, floor, some Asian baby, there she is.",1,
Bernadette and had a baby with who?,"(2 8) Howard: Yeah, baby, I’ll be right in.",0,
Bernadette and had a baby with who?,"(6 1) Howard: To infinity and beyond, baby.",0,
Bernadette and had a baby with who?,"(10 11) Howard: She’s here, the baby’s here.",2,
Bernadette and had a baby with who?,"(9 16) Howard (singing): Baby, I need your lovin’, got to have all your lovin’. Baby, I need your lovin’, got to have all your lovin’.",0,
Bernadette and had a baby with who?,(7 24) Bernadette: But we have jobs. We can’t baby-sit her 24 hours a day.,0,
Bernadette and had a baby with who?,"(5 13) Sheldon: Needy Baby, Greedy Baby indeed.",0,
Bernadette and had a baby with who?,(10 5) Raj: I wonder if this is what it feels like to be Bernadette’s baby.,1,
Bernadette and had a baby with who?,"(10 8) Bernadette: Great, the doctor said the baby’s head is facing down now.",2,
Bernadette and had a baby with who?,(10 23) Bernadette: Really? That’s the importance you put on us having a baby?,2,
Bernadette and had a baby with who?,"(10 12) Bernadette: Yeah, eventually I figured out how to get the baby to sleep.",2,
Bernadette and had a baby with who?,(9 20) Howard: Is it baby hormones or actually sad?,1,
Bernadette and had a baby with who?,(4 10) Howard: One-two-three-go? That’s for babies.,0,
Bernadette and had a baby with who?,(10 17) Bernadette (off): Busy like I’ll be with the baby if you go to San Diego?,2,
Bernadette and had a baby with who?,"(5 13) Sheldon: It’s in her book, Needy Baby, Greedy Baby.",0,
Bernadette and had a baby with who?,(10 8) Bernadette: Are you actually comparing my human baby to your brain in a bowl?,2,
Bernadette and had a baby with who?,(10 6) Howard: I felt a kick. There’s a baby in there.,2,
Bernadette and had a baby with who?,"(10 3) Dr Koothrapalli: Look, some people are baby people, and some people are not baby people. It doesn’t mean you won’t love your own baby.",2,
Bernadette and had a baby with who?,(10 13) Bernadette: You actually expect me to do this while holding a baby in the dark.,2,
Bernadette and had a baby with who?,"(9 20) Bernadette: Oh, it’s an ultrasonic microphone so we can hear the baby’s heartbeat.",2,
Bernadette and had a baby with who?,(10 8) Bernadette: You do realize my baby has functioning organs and can recognize voices.,2,
Bernadette and had a baby with who?,"(10 4) Howard: So you know the sex of our baby, and we don’t?",2,
Bernadette and had a baby with who?,"(9 20) Bernadette: Uh, Raj took me to the baby doctor and then we swung by the grocery store.",2,
Bernadette and had a baby with who?,"(10 12) Howard: The baby’s asleep, can we put her in your room?",2,
Bernadette and had a baby with who?,"(10 3) Howard: When the baby gets here, you gotta teach me that.",2,
Bernadette and had a baby with who?,"(10 6) Howard: Oh, we went and did a little shopping for the baby.",2,
Bernadette and had a baby with who?,"(4 24) Bernadette: Oh, you let me worry about the money. I just want my baby to have pretty things.",0,
Bernadette and had a baby with who?,"(10 12) Sheldon: Wait, so how does the story end? Is the baby a jerk or is Bernadette a bad mother?",1,
Bernadette and had a baby with who?,"(10 12) Howard: With pay, sucka. Forgot the baby, still new to this.",2,
Bernadette and had a baby with who?,"(2 21) Howard: Seriously, you think this is the size of a baby’s arm?",0,
Bernadette and had a baby with who?,(9 22) Howard: But I got a baby on the way. I got to make some money.,1,
Bernadette and had a baby with who?,(10 5) Stuart: I don’t know. Bernadette’s baby doesn’t have a Jacuzzi jet hitting just the right spot.,2,
Bernadette and had a baby with who?,"(10 10) Bernadette: Stuart, we’d love to help you out, but this a bad time, we’re about to have a baby.",2,
Bernadette and had a baby with who?,"(8 22) Howard: Oh. All right, playtime’s over. Let’s open this baby up.",0,
Bernadette and had a baby with who?,"(10 11) Raj: I know that. But to be fair, I’ve spent nine months helping Bernadette get ready for this baby, and Howard spent five minutes conceiving it. And I’m being generous.",2,
Bernadette and had a baby with who?,(9 20) Howard: The three of us aren’t having this baby. Just the two of us.,2,
Bernadette and had a baby with who?,"(4 1) Howard: Oh, God, that feels so good. Yeah, that’s the spot. Oh, baby.",0,
Bernadette and had a baby with who?,"(10 12) Sheldon: So Bernadette, if I express interest in your baby will you promise not to make me touch it?",1,
Bernadette and had a baby with who?,"(10 4) Bernadette: Let me see the sonogram again. Oh, yeah, that’s a good-looking baby for a little grey blob.",2,
Bernadette and had a baby with who?,"(9 20) Howard: Did you get graham crackers? I mean, are, wuh, is the baby okay?",1,
Bernadette and had a baby with who?,"(10 3) Bernadette: It’s my baby. I, I should care about nurseries and colours, and I don’t. What’s wrong with me?",2,
Bernadette and had a baby with who?,"(10 5) Howard: Well, he wants us to spend more time together before the baby comes.",1,
Bernadette and had a baby with who?,"(10 5) Howard: Well, she wants us to spend more time together before the baby comes.",1,
Bernadette and had a baby with who?,"(5 2) Howard: Pretty sweet, huh? This little baby set the university back 175 grand.",0,
Bernadette and had a baby with who?,(8 18) Howard: I wonder if only a baby who is worthy can suckle at the bosom of Thor.,0,
Bernadette and had a baby with who?,"(7 23) Bernadette: You know, you’re always talking about having a baby someday. This is exactly what it’s gonna be like.",0,
Bernadette and had a baby with who?,"(10 4) Howard: But you didn’t listen, and presto change-o, my baby’s inside you. Ta-da.",1,
Bernadette and had a baby with who?,"(9 22) Bernadette: Thank you for this. You know, ever since people found out I’m having a baby, I feel like I became Pregnant Bernadette. It was nice to take a little break tonight.",1,
Bernadette and had a baby with who?,"(7 23) Howard: Hey, I’m a very paternal person. I’d be excellent at taking care of a baby.",1,
Bernadette and had a baby with who?,"(5 12) Leonard: There you go, Howard. Sounds like Raj’ll have your babies, problem solved.",0,
Bernadette and had a baby with who?,(4 23) Howard: I was filled with adrenaline. It happens to be how women lift cars off babies.,0,
Bernadette and had a baby with who?,"(2 16) Howard (after his phone rings): Ooh, looks like I’m gonna have sex tonight. Hey, baby…",0,
Bernadette and had a baby with who?,(10 20) Howard: Of course. I missed you and the baby and being able to watch Ellen every day.,2,
Bernadette and had a baby with who?,"(8 6) Howard (off): I’m not a baby. I’m a grown man, and I made the bed. Now where’s my star?",0,
Bernadette and had a baby with who?,"(10 12) Howard: Hey, I found superhero baby wipes, the perfect way to clean up crime, and tushies.",2,
Bernadette and had a baby with who?,"(9 7) Howard: Speaking of making babies, what do you say I wash up and poke around your crawlspace?",2,
Bernadette and had a baby with who?,(9 9) Leonard: Baby.,1,
Bernadette and had a baby with who?,(9 2) Amy: What baby?,1,
Bernadette and had a baby with who?,"(4 13) Howard (singing): Well, I don’t know if all that’s true, ’cause you got me, and, baby, I got you.",0,
Bernadette and had a baby with who?,"(10 21) Howard: I told her if day care is anything like prison, find the biggest baby and knock him out.",1,
Bernadette and had a baby with who?,(9 12) Scene: Howard and Bernadette’s bedroom. Howard and Bernadette are asleep.,0,
Bernadette and had a baby with who?,(8 22) Raj: What a baby.,0,
Bernadette and had a baby with who?,"(10 6) Howard: It’s for the baby, and I didn’t buy it. The dealer loaned it to me for a 24-hour test drive.",1,
Bernadette and had a baby with who?,(9 21) Howard: I’m fine. Just a little embarrassed I had to be carried down the stairs like a baby. Thanks.,0,
Bernadette and had a baby with who?,"(10 2) Bernadette: Oh, thanks. You know, I just wanted to get some work done without people congratulating me about the baby every five minutes.",1,
Bernadette and had a baby with who?,"(7 14) Howard: Okay, you guys are such babies. I’ll handle this. If he thinks we’re not home, he’ll go away.",0,
Bernadette and had a baby with who?,(2 21) Raj: A little baby.,0,
Bernadette and had a baby with who?,(1 4) Mrs Cooper: Hi baby.,0,
Bernadette and had a baby with who?,"(10 10) Raj: Team Baby, go.",1,
Bernadette and had a baby with who?,"(6 5) Howard: You know, people say the Soyuz capsule was a lemon. But, hey, that baby got me to space and back.",0,
Bernadette and had a baby with who?,"(5 9) Bernadette: Look how sweet he is. Come over and say hi. Come on. You can do it. Don’t be scared. Come on. Oh, just pet the bird, you big baby!",0,
Bernadette and had a baby with who?,"(3 14) Penny: Oh, poor baby.",0,
Bernadette and had a baby with who?,(6 5) Scene: Howard and Bernadette’s bedroom. Howard and Bernadette are dressed as smurfs.,0,
Bernadette and had a baby with who?,"(9 13) Penny: Shake it, baby.",0,
Bernadette and had a baby with who?,"(7 6) Sheldon: Look at it. I feel like my mind just made a baby. And it’s beautiful. It’s not like human babies, which are loud and covered in goop.",0,
Bernadette and had a baby with who?,"(8 11) Howard: Again, it looked like my car, and the baby didn’t even cry until his mother punched me with her keys.",0,
Bernadette and had a baby with who?,"(9 20) Howard: Look, Raj, you’re my best friend in the world and I really appreciate your enthusiasm about the baby.",1,
Who does not have a driving license?,"(2 5) Sheldon: I just don’t see why I need a driver’s license, Albert Einstein never had a driver’s license.",2,Sheldon's driving license
Who does not have a driving license?,(10 16) Sheldon: Fine. Two years ago I got my driver’s license.,2,
Who does not have a driving license?,"(5 18) Sheldon: Penny, you’re not trained. You’re not licensed. Most importantly, you don’t have access to my haircut records.",0,
Who does not have a driving license?,"(3 16) Sheldon: Okay, then why is a summons for a traffic violation committed in your car, bearing your license plates, coming to me?",1,
Who does not have a driving license?,(3 8) Sheldon: I don’t drive.,1,
Who does not have a driving license?,"(4 17) Sheldon: Yes, I was in a taxi, but the driver didn’t look at all like the photograph on his license, so I leapt out and ran for it.",0,
Who does not have a driving license?,(3 14) Sheldon: I don’t drive.,1,
Who does not have a driving license?,"(2 17) Sheldon: You forgot your flash drive, You forgot your flash drive (repeated over and over in time to the sound of the train)",0,
Who does not have a driving license?,(7 2) Amy: Driving Sheldon to work.,0,
Who does not have a driving license?,(4 1) Sheldon: You know I don’t drive.,1,
Who does not have a driving license?,(4 1) Sheldon: Thank you for driving me.,0,
Who does not have a driving license?,(2 17) Sheldon: I forgot my flash drive.,0,
Who does not have a driving license?,"(2 5) Leonard: Yes, you are, you’re meant to learn how to drive. Please learn how to drive!",2,
Who does not have a driving license?,"(4 21) Leonard: Top of her class, Cambridge University. Licensed to practice law in three countries. And your face.",0,
Who does not have a driving license?,(4 1) Sheldon: Wait. You have to drive me.,1,
Who does not have a driving license?,"(9 16) Howard: If this is a viable thing, we could get a patent and license it to companies that make guidance systems.",0,
Who does not have a driving license?,(2 5) Sheldon: Then you can drive. Let’s go.,2,
Who does not have a driving license?,"(10 17) Leonard: If you want to drive, just drive. I don’t see why this has to be so complicated.",0,
Who does not have a driving license?,"(3 4) Sheldon: Wait, you have to drive me home.",1,
Who does not have a driving license?,(2 5) Sheldon: Thank you for driving me to work.,1,
Who does not have a driving license?,"(5 11) Leonard: Sheldon, we can’t let him drive.",0,
Who does not have a driving license?,"(2 5) Sheldon: No, wait. You have to drive me to work.",2,
Who does not have a driving license?,"(2 5) Leonard: Sheldon, you need to learn how to drive.",2,
Who does not have a driving license?,(3 22) Past Sheldon: And you’ll be willing to drive me?,1,
Who does not have a driving license?,"(2 5) Sheldon: But I don’t drive, and I can’t take the bus.",2,
